IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.15.68,,,,,1
192.168.15.69,,,,,1
192.168.15.70,,,,,1
192.168.15.71,,,,,1
192.168.15.72,,,,,1
192.168.15.73,,,,,1
192.168.15.74,,,,,1
192.168.15.75,,,,,1
192.168.15.76,,,,,1
192.168.15.77,,,,,1
192.168.15.78,,,,,1
192.168.15.79,,,,,1
192.168.15.80,,,,,1
192.168.15.81,,,,,1
192.168.14.2,,,12560.0,,1
192.168.14.3,,,12560.0,,1
192.168.14.4,,,12560.0,,1
192.168.14.5,,,12560.0,,1
192.168.14.6,,,12560.0,,1
192.168.14.7,,,12560.0,,1
192.168.14.8,,,12560.0,,1
192.168.14.9,,,12560.0,,1
192.168.14.10,,,12560.0,,1
192.168.14.11,,,12560.0,,1
192.168.14.12,,,12560.0,,1
192.168.14.13,,,12560.0,,1
192.168.14.14,,,12560.0,,1
192.168.14.15,,,12560.0,,1
192.168.14.16,,,12560.0,,1
192.168.14.17,,,12560.0,,1
192.168.14.18,,,12560.0,,1
192.168.14.19,,,12560.0,,1
192.168.14.20,,,12560.0,,1
192.168.14.21,,,12560.0,,1
192.168.14.22,,,12560.0,,1
192.168.14.23,,,12560.0,,1
192.168.14.24,,,12560.0,,1
192.168.14.25,,,12560.0,,1
192.168.14.26,,,12560.0,,1
192.168.14.27,,,12560.0,,1
192.168.14.28,,,12560.0,,1
192.168.14.29,,,12560.0,,1
192.168.14.30,,,12560.0,,1
192.168.14.31,,,12560.0,,1
192.168.14.32,,,12560.0,,1
192.168.14.33,,,12560.0,,1
192.168.14.34,,,12560.0,,1
192.168.14.35,,,12560.0,,1
192.168.14.36,,,12560.0,,1
192.168.14.37,,,12560.0,,1
192.168.14.38,,,12560.0,,1
192.168.14.39,,,12560.0,,1
192.168.14.40,,,12560.0,,1
192.168.14.41,,,12560.0,,1
192.168.14.42,,,12560.0,,1
192.168.14.43,,,12560.0,,1
192.168.14.44,,,12560.0,,1
192.168.14.45,,,12560.0,,1
192.168.14.46,,,12560.0,,1
192.168.14.47,,,12560.0,,1
192.168.14.48,,,12560.0,,1
192.168.14.49,,,12560.0,,1
192.168.14.50,,,12560.0,,1
192.168.14.51,,,12560.0,,1
192.168.14.52,,,12560.0,,1
192.168.14.53,,,12560.0,,1
192.168.14.54,,,12560.0,,1
192.168.14.55,,,12560.0,,1
192.168.14.56,,,12560.0,,1
192.168.14.57,,,12560.0,,1
192.168.14.58,,,12560.0,,1
192.168.14.59,,,12560.0,,1
192.168.14.60,,,12560.0,,1
192.168.14.61,,,12560.0,,1
192.168.14.62,,,12560.0,,1
192.168.14.63,,,12560.0,,1
192.168.14.64,,,12560.0,,1
192.168.14.65,,,12560.0,,1
192.168.14.66,,,12560.0,,1
192.168.14.67,,,12560.0,,1
192.168.14.68,,,12560.0,,1
192.168.14.69,,,12560.0,,1
192.168.14.70,,,12560.0,,1
192.168.14.71,,,12560.0,,1
192.168.14.72,,,12560.0,,1
192.168.14.73,,,12560.0,,1
192.168.14.74,,,12560.0,,1
192.168.14.75,,,12560.0,,1
192.168.14.76,,,12560.0,,1
192.168.14.77,,,12560.0,,1
192.168.14.78,,,12560.0,,1
192.168.14.79,,,12560.0,,1
192.168.14.80,,,12560.0,,1
192.168.14.81,,,12560.0,,1
192.168.13.2,,,,,1
192.168.13.3,,,,,1
192.168.13.4,,,,,1
192.168.13.5,,,,,1
192.168.13.6,,,,,1
192.168.13.7,,,,,1
