IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.12.99,M21,,,,1
192.168.12.100,M21,,,,1
192.168.12.101,M21,,,,1
192.168.13.2,M21,,,,1
192.168.13.3,M21,,,,1
192.168.13.4,M21,,,,1
192.168.13.5,M21,,,,1
192.168.13.6,M21,,,,1
192.168.13.7,M21,,,,1
192.168.13.8,M21,,,,1
192.168.13.9,M21,,,,1
192.168.13.10,M21,,,,1
192.168.13.11,M21,,,,1
192.168.13.12,M21,,,,1
192.168.13.13,M21,,,,1
192.168.13.14,M21,,,,1
192.168.13.15,M21,,,,1
192.168.13.16,M21,,,,1
192.168.13.17,M21,,,,1
192.168.13.18,M21,,,,1
192.168.13.19,M21,,,,1
192.168.13.20,M21,,,,1
192.168.13.21,M21,,,,1
192.168.13.22,M21,,,,1
192.168.13.23,M21,,,,1
192.168.13.24,M21,,,,1
192.168.13.25,M21,,,,1
192.168.13.26,M21,,,,1
192.168.13.27,M21,,,,1
192.168.13.28,M21,,,,1
192.168.13.29,M21,,,,1
192.168.13.30,M21,,,,1
192.168.13.31,M21,,,,1
192.168.13.32,M21,,,,1
192.168.13.33,M21,,,,1
192.168.13.34,M21,,,,1
192.168.13.35,M21,,,,1
192.168.13.36,M21,,,,1
192.168.13.37,M21,,,,1
192.168.13.38,M21,,,,1
192.168.13.39,M21,,,,1
192.168.13.40,M21,,,,1
192.168.13.41,M21,,,,1
192.168.13.42,M21,,,,1
192.168.13.43,M21,,,,1
192.168.13.44,M21,,,,1
192.168.13.45,M21,,,,1
192.168.13.46,M21,,,,1
192.168.13.47,M21,,,,1
192.168.13.48,M21,,,,1
192.168.13.49,M21,,,,1
192.168.13.50,M21,,,,1
192.168.13.51,M21,,,,1
192.168.13.52,M21,,,,1
192.168.13.53,M21,,,,1
192.168.13.54,M21,,,,1
192.168.13.55,M21,,,,1
192.168.13.56,M21,,,,1
192.168.13.57,M21,,,,1
192.168.13.58,M21,,,,1
192.168.13.59,M21,,,,1
192.168.13.60,M21,,,,1
192.168.13.61,M21,,,,1
192.168.13.62,M21,,,,1
192.168.13.63,M21,,,,1
192.168.13.64,M21,,,,1
192.168.13.65,M21,,,,1
192.168.13.66,M21,,,,1
192.168.13.67,M21,,,,1
192.168.13.68,M21,,,,1
192.168.13.69,M21,,,,1
192.168.13.70,M21,,,,1
192.168.13.71,M21,,,,1
192.168.13.72,M21,,,,1
192.168.13.73,M21,,,,1
192.168.13.74,M21,,,,1
192.168.13.75,M21,,,,1
192.168.13.76,M21,,,,1
192.168.13.77,M21,,,,1
192.168.13.78,M21,,,,1
192.168.13.79,M21,,,,1
192.168.13.80,M21,,,,1
192.168.13.81,M21,,,,1
192.168.13.82,M21,,,,1
192.168.13.83,M21,,,,1
192.168.13.84,M21,,,,1
192.168.13.85,M21,,,,1
192.168.13.86,M21,,,,1
192.168.13.87,M21,,,,1
192.168.13.88,M21,,,,1
192.168.13.89,M21,,,,1
192.168.13.90,M21,,,,1
192.168.13.91,M21,,,,1
192.168.13.92,M21,,,,1
192.168.13.93,M21,,,,1
192.168.13.94,M21,,,,1
192.168.13.95,M21,,,,1
192.168.13.96,M21,,,,1
192.168.13.97,M21,,,,1
192.168.13.98,M21,,,,1
192.168.13.99,M21,,,,1
192.168.13.100,M21,,,,1
192.168.13.101,M21,,,,1
192.168.14.2,M21,,,,1
192.168.14.3,M21,,,,1
192.168.14.4,M21,,,,1
192.168.14.5,M21,,,,1
192.168.14.6,M21,,,,1
192.168.14.7,M21,,,,1
192.168.14.8,M21,,,,1
192.168.14.9,M21,,,,1
192.168.14.10,M21,,,,1
192.168.14.11,M21,,,,1
192.168.14.12,M21,,,,1
192.168.14.13,M21,,,,1
192.168.14.14,M21,,,,1
192.168.14.15,M21,,,,1
192.168.14.16,M21,,,,1
192.168.14.17,M21,,,,1
192.168.14.18,M21,,,,1
192.168.14.19,M21,,,,1
192.168.14.20,M21,,,,1
192.168.14.21,M21,,,,1
192.168.14.22,M21,,,,1
192.168.14.23,M21,,,,1
192.168.14.24,M21,,,,1
192.168.14.25,M21,,,,1
192.168.14.26,M21,,,,1
192.168.14.27,M21,,,,1
192.168.14.28,M21,,,,1
192.168.14.29,M21,,,,1
192.168.14.30,M21,,,,1
192.168.14.31,M21,,,,1
192.168.14.32,M21,,,,1
192.168.14.33,M21,,,,1
192.168.14.34,M21,,,,1
192.168.14.35,M21,,,,1
192.168.14.36,M21,,,,1
192.168.14.37,M21,,,,1
192.168.14.38,M21,,,,1
192.168.14.39,M21,,,,1
192.168.14.40,M21,,,,1
192.168.14.41,M21,,,,1
192.168.14.42,M21,,,,1
192.168.14.43,M21,,,,1
192.168.14.44,M21,,,,1
192.168.14.45,M21,,,,1
192.168.14.46,M21,,,,1
192.168.14.47,M21,,,,1
192.168.14.48,M21,,,,1
192.168.14.49,M21,,,,1
192.168.14.50,M21,,,,1
192.168.14.51,M21,,,,1
192.168.14.52,M21,,,,1
192.168.14.53,M21,,,,1
192.168.14.54,M21,,,,1
192.168.14.55,M21,,,,1
192.168.14.56,M21,,,,1
